gene,Length,Nonsyn_v,Syn_v,Tissuespe,Expr,Reptime,HIc,GC,ALL_tr_length,CO_tr_length,ALL_tr_count,CO_tr_count,NC_tr_count,NC_mut_rate,HI,REC,CONS,RVIS,GDI,NET
MMP8,1.454,32,9,0,5.30224,567,-10,39.04,7928.166667,12406,6,2,4,0.000002483,0.1316,0.28283,-0.187387476,1.576373448,4.01127,0.63036103
CEP78,2.249,26,14,0,2.49135,554,-32,37.2,23206.36364,34205.4,11,5,6,0.000003208,0.19168,0.11133,0.097862113,-0.088107893,2.64709,0.560063714
MMP7,0.834,20,9,0,5.24316,359,17,37.54,6827.666667,10246,3,1,2,0.000002499,0.08942,0.56774,-1.291792807,0.330767509,5.1586,0.520611029
ZNF827,3.299,48,28,1,1.10708,1103,30,41.53,64263.1,110763.4,10,5,5,0.000002925,0.000001,0.000001,1.077233274,-2.168050123,1.53875,0.305246387
OR6C65,0.944,8,7,0,6.67726,802,-14,37.08,1076,1076,1,1,0,0.000003622,0.000001,0.000001,0.297119549,0.194852702,1.17061,0.059759885
MMP3,1.484,31,16,1,4.68929,506,-21,38.16,3857.666667,5108.5,3,2,1,0.000002682,0.12669,0.86628,-0.996689193,-0.664951379,1.19072,0.589179803
COX5A,0.473,7,2,0,7.9224,199,45,44.93,17287,17287,6,6,0,0.000002404,0.12532,0.28848,0.000001,-0.163345027,0.32735,0.087215025
COX5B,0.41,3,3,1,3.62146,520,25,50.3,1817.75,2344,4,1,3,0.000002992,0.55043,0.12112,0.000001,0.235309407,1.26288,0.826913885
MRPS31,1.223,20,3,0,2.70527,470,44,39.19,24291,41870,4,1,3,0.000002514,0.17192,0.0684,0.088554935,0.040529541,9.06971,0.938092173
MMP2,2.056,26,23,0,1.29512,538,-28,45.67,27606.25,31426.42857,8,7,1,0.000002911,0.87847,0.96194,2.329881954,-0.064242613,2.97359,0.724659442
MMP1,1.46,26,9,1,5.10838,567,-16,39.69,8241,8241,1,1,0,0.000002556,0.48655,0.80999,-0.57610771,0.733063566,2.48198,0.851401824
MRPS30,1.345,22,9,1,0.87489,1075,-7,36.6,4669.25,6598,4,1,3,0.000009296,0.35441,0.10047,1.913452358,0.753291803,2.6968,0.877233907
ZNF829,1.572,19,3,0,3.08757,976,-38,39.33,21232.33333,26419.5,3,2,1,0.000004138,0.000001,0.000001,0.402873399,-0.227663163,1.86701,0.11437136
TAPBP,1.567,25,14,0,14.56953,262,30,50.01,10927.5,11843.625,9,6,3,0.000002784,0.000001,0.000001,0.702893586,0.132352165,2.21028,0.991722017
CEP70,1.901,35,10,0,1.98996,515,16,39.55,63655.85714,68837.08333,14,12,2,0.00000311,0.31153,0.10699,-1.065373408,0.112125503,2.37325,0.030334432
OR6C68,0.944,16,4,0,8.02038,706,3,36.53,946.5,946.5,2,2,0,0.000003494,0.000001,0.000001,-0.775264004,1.106059595,11.41182,0.005075367
EIF3CL,2.842,3,1,0,11.39917,269,56,47.26,24274.33333,24274.33333,3,3,0,0.000004923,0.25453,0.1177,0.000001,0.000001,4.77077,0.177496983
ATOH1,1.07,22,11,0,0.58522,802,24,52.35,1180,1180,1,1,0,0.000004016,0.76824,0.28312,1.513439914,-0.113792788,3.35733,0.577407874
PTGIR,1.171,19,10,0,11.39694,347,28,59.04,3122.75,3655.4,6,5,1,0.000002355,0.16048,0.22469,0.349345685,0.000001,4.08117,0.632580053
PTGIS,1.553,43,16,0,11.17465,380,52,46.17,62244.5,64273,2,1,1,0.000002417,0.36541,0.27749,-0.842595966,-0.352661697,2.94813,0.92913957
ATOH8,0.981,13,9,0,11.05419,181,46,55.02,23777.6,34173,5,1,4,0.00000172,0.56852,0.11878,2.268264574,0.000001,6.76533,0.405750999
ATOH7,0.464,5,4,0,4.59384,251,17,54.26,1486,1486,1,1,0,0.000002446,0.000001,0.000001,1.454798044,0.125076652,1.02003,0.800905187
GNL2,2.276,35,20,0,4.45473,274,30,42.77,6406.555556,18604.5,9,2,7,0.000002838,0.89972,0.10766,-0.341872829,-0.995664936,2.40365,0.06185969
GNL1,1.884,14,15,0,20.80582,271,32,49.56,6144.847826,10074.27273,6,2,3,0.000002584,0.000001,0.000001,3.025256572,-0.446304853,2.19222,0.140731377
GNL3,1.725,30,9,0,12.17701,272,47,43.2,4330.25,6611.5,12,4,8,0.000001565,0.94475,0.17418,0.043646133,0.799205007,16.45902,0.85518207
CEP85,2.354,32,12,0,9.58818,217,26,44.77,21348.75,36410,8,3,5,0.000001,0.000001,0.000001,0.364735581,-0.108334733,7.48872,0.11437136
INADL,5.616,101,39,1,2.74287,469,-3,40.43,178485,245291.8,14,5,9,0.000002043,0.000001,0.000001,0.060663544,2.269245313,14.15685,0.498824554
CEP83,2.181,39,9,0,1.81169,690,25,37.69,59648.78571,0.000001,14,6,8,0.000001,0.000001,0.000001,0.000001,-0.110153916,10000,0.000001
RRP1,1.451,19,17,0,8.35438,194,66,57.27,8184.142857,15781,7,1,6,0.000002535,0.10646,0.1069,1.375747248,0.841481379,9.77036,0.963960481
CEP89,2.447,38,14,0,4.78721,448,-20,45.28,43288,54205,8,3,5,0.000001,0.03753,0.0744,1.548518294,1.824404405,13.17735,0.11437136
GNLY,0.475,13,3,1,10.99615,181,41,45.86,3484.285714,4165.75,14,4,10,0.000001727,0.000001,0.000001,0.000001,1.104245073,10000,1.37E-05
ZNF812,1.385,0,0,0,0.000001,0.000001,0.000001,43.36,8800.666667,8800.666667,4,3,1,0.000001,0.000001,0.000001,0.000001,0.000001,9.79147,0.061428947
ZNF814,2.583,13,6,0,0.000001,0.000001,0.000001,46.12,22728.57143,27925.875,14,8,6,0.000001,0.000001,0.000001,0.000001,-0.293801652,2.16252,0.208426464
ZNF813,1.869,37,12,0,3.61546,876,-58,43.99,27585,27585,4,4,0,0.000005363,0.000001,0.000001,0.150258802,1.35769336,8.65139,0.114142064
RRP8,1.406,35,12,0,4.24523,491,17,47.4,3914.8,6103,5,2,3,0.000003294,0.16394,0.08512,-0.982097167,0.512596355,4.46785,0.547001066
ZNF816,1.971,32,11,0,4.25659,984,-56,43.93,14117.8,14117.8,10,10,0,0.000001,0.000001,0.000001,-0.316404708,2.046758368,12.29495,0.11437136
RRP9,1.503,20,12,0,10.13177,370,39,55.15,8512,8512,1,1,0,0.000001797,0.81384,0.12094,1.788233464,-0.157884861,2.27541,0.910261217
CHPT1,1.266,16,6,0,3.47543,338,8,38.42,22586,30402,10,2,8,0.000003102,0.08237,0.09015,0.809570853,-0.0274281,10.34366,0.167751521
COX6C,0.238,5,3,1,2.82641,537,29,40.79,13399.18182,13440.75,11,8,3,0.00000327,0.18186,0.08,0.000001,0.169169616,8.9217,0.920287167
SLC37A1,1.697,30,24,0,4.40393,284,67,48.79,23083.22222,43954,9,4,5,0.00000247,0.09886,0.1356,0.712280544,-0.707227564,2.65814,0.302426864
SLC37A2,1.629,34,19,0,4.28178,762,30,52.88,21115.57143,23729.8,7,5,2,0.000002939,0.10703,0.11611,0.494211169,0.04598748,7.12342,0.225280247
CEP97,2.653,34,18,0,5.47972,421,9,40.61,33891.28571,44627,7,3,4,0.000002876,0.39973,0.09879,0.054022316,-0.595174814,2.87864,0.862339623
ZNF845,2.928,25,11,1,0.000001,0.000001,0.000001,44.17,19751.66667,19751.66667,3,3,0,0.000001,0.000001,0.000001,0.000001,1.840996754,6.23685,0.275641238
MRPS17,0.403,10,3,0,7.60564,642,11,49.9,25284.66667,25284.66667,2,2,0,0.000006302,0.17221,0.11928,0.000001,0.237127192,2.23733,0.913796382
ZNF844,2.021,25,6,0,0.000001,0.000001,0.000001,44.52,13454,13454,3,3,0,0.000001,0.000001,0.000001,0.000001,2.81877582,12.81024,0.127348174
MRPS16,0.429,8,4,0,8.29738,249,44,47.47,3471,4496,6,3,3,0.000001792,0.05236,0.07936,0.000001,0.193034296,3.77828,0.731196952
ZNF843,1.052,2,1,0,0.000001,0.000001,0.000001,49.83,8183,8183,2,2,0,0.000001,0.000001,0.000001,0.000001,0.567831482,4.37322,0.336194002
MRPS15,0.814,19,5,0,5.81032,347,31,49.28,5504.5,8720,4,1,3,0.000002538,0.10308,0.06601,0.079407525,-0.093566408,2.79543,0.927982698
MRPS14,0.402,7,4,0,1.76818,828,4,40.16,7891.666667,10468,3,1,2,0.000004312,0.000001,0.000001,0.000001,-0.229483771,0.28731,0.94001362
ZNF841,2.795,20,10,0,0.000001,0.000001,0.000001,41.11,15987.57143,19555,8,6,2,0.000001,0.000001,0.000001,0.000001,0.619191319,5.27971,0.179020598
CEP95,2.566,33,8,0,10.36796,184,8,40.77,10301.22222,14662,8,7,12,0.000001,0.26971,0.08509,0.012538336,-0.310388054,2.20179,0.11437136
MRPS12,0.427,6,9,0,17.94625,282,21,55.6,1905.5,2234.666667,4,3,1,0.000002471,0.31923,0.17492,1.270410481,-0.139478553,2.78572,0.993863771
MRPS11,0.615,19,6,0,2.12296,630,4,45.97,7414.909091,11040.5,11,2,9,0.000004129,0.08933,0.10502,-1.077076341,-0.093566408,3.84074,0.936324903
COX7B,0.258,0,0,0,0.000001,0.000001,0.000001,40.81,5836,7936,3,1,2,0.000002687,0.06926,0.08399,0.000001,0.279402865,2.03933,0.819146594
MRPS10,0.641,14,4,0,5.24386,273,43,41.04,11065,11065,1,1,0,0.00000233,0.19668,0.10229,-0.505633696,-0.0274281,1.00349,0.985907538
COX7C,0.202,0,1,1,0.84088,829,-14,42.27,2839.857143,2886.333333,7,3,4,0.000005911,0.000001,0.000001,0.000001,0.12325821,10000,0.700079086
NEDD9,2.628,38,24,0,2.28484,418,30,43.09,106725.8,131197.1667,15,6,9,0.000002443,0.38853,0.2374,1.072615151,-0.371072278,3.58344,0.867952623
NEDD8,0.266,0,0,0,9.44836,220,40,43.63,12385.875,15121,8,2,6,0.000002224,0.55729,0.1705,0.000001,0.101211609,10000,0.996893751
ZNF846,1.627,30,14,0,9.38482,600,-49,45.78,18075.75,20419,12,7,5,0.000002979,0.000001,0.000001,-0.234348191,0.466683681,6.76427,0.000103463
FIS1,0.484,5,4,0,10.22626,258,39,51.92,7023.333333,9028,9,4,5,0.000003013,0.15008,0.11262,1.648803471,0.169169616,4.39577,0.999666614
UBE2D4,0.479,6,6,0,8.7291,239,44,45.79,23029.16667,26474.66667,12,3,9,0.000003014,0.17913,0.11262,0.000001,0.125076652,1.46968,0.903404742
UBE2D3,0.568,0,1,1,3.80953,471,41,38.48,29985.875,36117.11111,32,18,14,0.000003123,0.000001,0.000001,0.000001,0.057118534,0.14886,0.959938368
UBE2D2,0.479,0,3,0,6.41116,244,39,44.35,63063.25,72464.8,8,5,3,0.000001657,0.50966,0.24974,0.000001,0.101211609,0.04195,0.247298443
OPALIN,0.47,11,3,1,7.9946,684,38,41.6,14460.5,14792.4,5,5,0,0.000001935,0.06444,0.06676,0.000001,0.415317661,1.74385,0.307483655
QTRTD1,1.329,13,9,0,4.26794,504,26,38.31,16741.8125,28847.57143,16,7,9,0.00000293,0.03624,0.1321,1.764851795,0.016664174,1.23446,0.07922747
RHNO1,0.727,14,6,0,0.000001,0.000001,0.000001,47.54,11466.75,11361,8,5,3,0.000001,0.000001,0.000001,0.000001,0.000001,1.04792,0.000001
GNMT,0.918,9,7,1,12.00368,259,40,57.22,3123,3123,1,1,0,0.000002216,0.75363,0.31829,0.087388375,0.060756528,1.38486,0.973886499
UBE2D1,0.479,2,2,0,1.53069,326,-12,36.05,13918.33333,35779,3,1,2,0.000004083,0.9237,0.55859,0.000001,0.035072054,0.11612,0.662210399
PGGT1B,1.179,13,10,0,2.37444,619,9,35.7,32752,51246.5,5,2,3,0.000003682,0.55968,0.15588,1.034666344,-0.0274281,2.52744,0.442168475
SETDB1,4.035,36,20,0,16.88656,172,31,44.16,16708.11765,23303.88889,17,9,8,0.000002567,0.000001,0.000001,3.325702138,-1.460519861,3.98173,1
MRPS27,1.347,20,5,0,4.14939,342,29,38.95,52133.75,86250.16667,16,6,10,0.000002121,0.05095,0.08353,0.34468857,0.485092724,8.58676,0.961516458
MRPS26,0.638,3,4,0,8.3559,288,54,61.08,2310,2310,1,1,0,0.000002207,0.10007,0.08706,2.3381289,0.000001,0.37333,0.983138475
ZNF831,5.059,75,44,0,8.76466,202,15,44.35,68094,68094,1,1,0,0.000003719,0.000001,0.000001,2.793692943,1.328244615,4.3351,0.078846722
CARD8,1.673,23,18,1,10.52191,391,32,44.39,29546.75,32819.5,32,14,18,0.000002775,0.06736,0.06344,-0.873925232,1.179479654,4.89784,0.783487631
SETDB2,2.23,23,11,1,4.13604,343,39,37.41,35215.75,46531.33333,4,3,1,0.000002245,0.07671,0.09226,0.717034861,-0.067881249,2.70466,0.523265187
CARD9,1.726,45,23,0,11.9416,258,28,64.46,7175.571429,8393.666667,8,3,5,0.000002735,0.09281,0.13929,-0.937980954,-0.593358137,7.21015,0.813670982
MRPS28,0.579,11,2,0,1.94118,410,45,37.19,97952.2,102901.375,10,8,2,0.000003443,0.27868,0.09721,1.011516964,0.903992902,4.05172,0.247855242
MRPS23,0.598,8,4,0,8.73797,222,6,44.44,7534,9624.666667,4,3,1,0.000002127,0.11485,0.07926,0.501348036,-0.317668748,1.17992,0.98686272
MMADHC,0.926,13,7,1,1.02377,521,1,35.15,13771.75,18083,4,3,1,0.000002805,0.17434,0.13266,0.640843015,0.483275131,3.74082,0.530515664
MRPS22,1.123,13,4,0,2.61288,671,9,42.84,53380.07143,91000.28571,14,7,7,0.00000355,0.05494,0.20364,1.352747887,0.439181676,2.34458,0.010636407
COX8C,0.229,3,2,1,0.000001,0.000001,0.000001,53.6,1166,1166,1,1,0,0.000001,0.000001,0.000001,0.000001,0.035072054,1.75282,0.11437136
MRPS25,0.542,1,5,0,5.32551,395,45,47.97,12468.14286,15489.33333,7,3,4,0.000002332,0.119,0.0978,1.706329525,0.125076652,0.5744,0.988335963
ZNF830,1.124,14,13,0,2.68361,579,-14,42.79,1239.5,1657,2,1,1,0.000003145,0.19303,0.0928,2.096661194,0.040529541,9.30353,0.005452721
OMP,0.497,14,9,0,4.37413,450,40,63.01,492.5,492.5,1,1,0,0.000002174,0.000001,0.000001,-0.441468674,0.306902668,4.30268,0.539175613
COX8A,0.22,2,4,0,13.22584,277,42,57,1937,1937,1,1,0,0.000002392,0.04184,0.12726,0.000001,0.257356108,0.6475,0.429338174
MRPS24,0.524,5,3,1,8.7291,239,44,50.93,2675.4,3000,5,1,4,0.000003014,0.07088,0.08259,1.095965018,0.569646743,4.4369,0.600266002
OR6C74,0.944,18,6,0,4.11183,816,-1,38.46,1105,1105,1,1,0,0.000003715,0.000001,0.000001,0.041910043,1.616843854,19.02158,0.044625216
LIN7B,0.654,5,5,0,20.11861,267,47,58.86,3088.142857,3101,7,3,4,0.000002726,0.26305,0.14229,1.782416564,-0.119252484,0.34727,0.945149855
LIN7C,0.619,9,4,0,3.71553,477,-10,37.11,12035,12035,2,2,0,0.000003045,0.64364,0.15588,0.000001,-0.251530012,0.61515,0.92467354
ZNF839,2.824,47,25,0,16.1511,214,35,49.04,14649.92308,15515.3,13,10,3,0.00000214,0.000001,0.000001,1.104735996,1.495467846,7.22302,0.474795243
OR6C76,0.944,12,10,0,8.02038,706,3,40.15,939,939,1,1,0,0.000003494,0.000001,0.000001,0.984197446,0.927856124,4.57349,0.103815084
MRPS21,0.274,7,2,1,12.1315,197,38,46.58,15100.5,15100.5,2,2,0,0.00000346,0.000001,0.000001,0.000001,0.924227736,5.71331,0.486496988
OR6C75,0.944,15,5,0,6.67726,802,-14,41.85,939,939,1,1,0,0.000003622,0.000001,0.000001,-1.441715896,-0.071520316,3.28009,0.11437136
OR6C70,0.944,17,4,0,8.02038,706,3,36.85,939,939,1,1,0,0.000003494,0.000001,0.000001,-0.104950518,0.639420866,3.3343,0.080066468
CARD6,3.129,54,13,0,2.12186,526,19,42.1,16518.5,16518.5,2,2,0,0.00000524,0.03526,0.06855,-1.174493856,1.785787059,5.16443,0.394439455
ZNF836,2.826,32,15,0,4.60879,901,-41,43.18,10568.66667,14440,6,4,2,0.000003581,0.000001,0.000001,1.537669853,-0.354480519,9.96197,0.152532282
ZNF835,1.619,26,22,0,1.74439,849,-68,54.61,7985.5,7985.5,2,2,0,0.000004675,0.000001,0.000001,3.125133169,0.468503535,11.14944,0.234281516
LIN7A,0.727,4,5,0,0.27634,987,-4,36.73,106353.25,95069,4,3,1,0.000004715,0.44116,0.22085,1.689044055,-0.163345027,0.48162,0.539175613
ZNF837,1.601,3,1,0,0.000001,0.000001,0.000001,54.57,13421.5,13421.5,2,2,0,0.000001,0.000001,0.000001,0.000001,0.000001,4.23268,0.519276346
UBE2E3,0.649,1,3,0,1.14904,888,11,35.61,63351.92857,68131.3,14,10,4,0.000003592,0.000001,0.000001,2.057958831,0.057118534,0.12365,0.800085827
NEDD1,2.079,24,6,0,0.51429,882,-6,35.02,31497.84615,33714.11111,13,9,4,0.000003712,0.22134,0.12157,0.105833353,-0.556537043,1.79155,0.576164576
OMD,1.276,19,8,1,5.37639,574,47,36.07,10217,10217,1,1,0,0.000002116,0.09031,0.17674,-0.069069317,0.328949044,4.07833,0.107341949
NEDD4,4.401,64,26,1,2.59242,271,-1,38.51,80960.09091,105150.4,12,5,7,0.000002753,0.30475,0.21064,0.544571942,0.301240539,8.01788,0.961906521
OR4A15,1.04,44,9,0,0.01067,1102,-42,41.45,1035,1035,1,1,0,0.000010271,0.08837,0.09327,-5.184278332,-0.574945567,4.01407,0.125484345
OR4A16,0.992,30,13,0,0.01067,1102,-42,41.24,1081,1081,1,1,0,0.000010271,0.000001,0.000001,-3.232512833,0.022122107,14.58816,0.172940331
ALDH2,1.619,21,11,0,6.91258,242,44,49.32,36388,42904.5,4,2,2,0.000002255,0.48585,0.66989,0.820898391,-0.844966979,4.64731,0.885677681
RRS1,1.103,16,8,0,2.59302,268,12,56.33,1704,1704,1,1,0,0.000003305,0.52765,0.20417,2.342606682,0.971952656,6.01838,0.898820359
CIRBP,0.549,4,6,0,22.14581,234,29,62.55,4320.333333,5083.956522,46,23,23,0.000002707,0.13777,0.11983,1.512945609,-0.163345027,0.83448,0.99286065
OMG,1.328,8,6,0,4.73619,396,27,38.2,8030.5,2765,4,1,3,0.000002217,0.39406,0.19007,1.528602983,0.12689526,3.83215,0.594325813
UBE2E2,0.631,4,5,0,3.85056,530,2,37.68,312093.4,368406.6667,5,3,2,0.000002952,0.000001,0.000001,0.000001,-0.119252484,0.04711,0.985326507
UBE2E1,0.665,2,3,0,4.0075,319,10,41.45,62192.36364,82101.5,11,6,5,0.000002317,0.62873,0.11262,2.2517375,0.279402865,3.38871,0.683114491
ARHGAP10,2.476,35,26,0,0.75227,678,22,40.94,149106.5714,240845.3333,8,3,5,0.000002683,0.15341,0.12272,1.396320711,1.09310945,3.22888,0.679660973
CRYZL1,1.11,12,8,0,9.09314,375,58,41.59,28501.43478,32409.85714,23,14,9,0.000002153,0.09871,0.09286,0.33459804,0.194852702,1.88514,0.638670063
RITA1,0.897,20,7,0,4.17427,252,35,51.56,6834,6834,3,3,0,0.000001,0.000001,0.000001,0.000001,0.485092724,2.379,0.000001
KIAA0226,3.069,56,29,1,5.60122,252,50,45.87,37037.45455,44639.85714,11,7,4,0.000005034,0.18496,0.09999,1.612191707,0.431697208,7.23475,0.681195523
ARHGAP19,1.579,28,9,1,9.45635,397,26,42.77,47502.42857,50118,7,4,3,0.000001892,0.000001,0.000001,0.808027792,0.352813824,10000,0.610042255
ARHGAP18,2.067,29,21,0,0.73209,550,26,38.52,57698,134094,3,1,2,0.000003429,0.09701,0.11308,0.080338271,-0.797234383,2.61697,0.694365051
ARHGAP17,2.746,39,25,0,2.72834,185,22,44.36,35978,53246.5,21,8,13,0.000003332,0.000001,0.000001,0.375393698,-1.5928285,2.92804,0.796116181
ARHGAP15,1.493,21,13,1,0.57425,639,11,36.48,159967.9286,393015,14,2,12,0.000004457,0.77364,0.12676,0.041141409,-0.624497208,5.38892,0.503723934
FAM63A,1.604,25,13,0,16.21279,172,30,49.22,8460.833333,8660.8,6,5,1,0.000002552,0.06573,0.0637,1.062558288,0.464864541,3.68029,0.953342112
FAM63B,1.911,23,10,0,5.24797,311,28,39.89,76433.8,70834,5,3,2,0.000002263,0.000001,0.000001,1.299020723,-0.134019284,2.763,0.391429229
OS9,2.082,28,14,0,12.45394,344,46,43.99,15992.63636,26521.27273,23,11,12,0.000002348,0.000001,0.000001,1.563850741,-0.821100135,3.00719,0.700104229
ARHGAP12,2.631,36,17,0,3.59237,346,25,36.94,62597.77778,104672.5,10,6,4,0.000003343,0.59182,0.1351,0.547390242,-0.819281839,8.5073,0.120863071
ARHGAP21,6.002,87,35,0,1.64987,309,-3,38.96,46063.75,75995.42857,16,7,9,0.000002798,0.34248,0.15472,1.158388496,-0.779115343,4.2985,0.747754892
ARHGAP22,2.309,33,23,0,0.000001,0.000001,0.000001,47.75,88281.33333,109443.8571,15,7,8,0.000001,0.12203,0.13515,-0.34224615,-0.396754488,2.95338,0.924953794
TP53I3,1.024,15,5,0,2.6957,385,38,49.47,5608.857143,6627.8,7,5,2,0.000001895,0.21814,0.13855,0.851812855,0.551232944,1.28939,0.924646402
ARHGAP20,3.724,40,18,0,1.46681,501,-5,36.75,111515,115032.1429,7,7,0,0.000002559,0.26615,0.13312,1.174045179,-0.393118976,2.99346,0.812791069
SERAC1,2.045,27,7,1,5.72602,209,40,39.81,44575.25,37762.4,8,5,3,0.000002144,0.19774,0.09724,0.56916096,0.244401822,3.5804,0.168157834
KIAA0232,4.228,55,25,0,5.00642,179,50,42.27,58593.4,81635.66667,5,3,2,0.000002094,0.46058,0.12903,0.180321402,-1.72153103,4.4884,0.865694625
LAIR1,0.935,18,6,0,7.42939,507,-9,49.35,8049.55102,11006.73684,24,8,16,0.000005589,0.03531,0.07153,0.368955495,1.530453833,2.32785,0.340910196
DMRT3,1.429,25,15,0,0.83374,703,9,43.73,7632.5,7632.5,2,2,0,0.000002534,0.17729,0.11564,0.53562101,0.644875971,6.69629,0.795064857
LAIR2,0.484,13,5,0,8.19283,601,-4,49.25,8632.5,8632.5,3,3,0,0.000005317,0.000001,0.000001,0.000001,0.371224249,3.86934,0.105468384
OTC,1.115,2,0,0,0.000001,0.000001,0.000001,39.3,59984.5,68906,2,1,1,0.000002443,0.22278,0.85665,0.367642787,0.082802743,6.27812,0.936950049
DMRT1,1.147,20,17,1,0.85434,622,8,43.16,102166.3333,126601.5,3,2,1,0.000002591,0.000001,0.000001,-0.32861197,-0.424258538,5.22982,0.935186963
CEP41,1.25,17,3,0,4.19615,298,27,39.96,26569.94737,31376.29412,18,9,9,0.000001,0.35352,0.12266,0.498313625,0.551232944,2.28931,0.11437136
ARHGAP28,1.793,33,18,0,2.41496,281,-28,39.1,71536.52941,87566.53846,17,13,4,0.00000454,0.11041,0.11329,-0.313540988,-0.352661697,4.63503,0.030238215
DMRT2,1.759,38,11,1,0.71695,845,4,47.9,6555.8,6453,6,6,0,0.000002627,0.28432,0.10271,0.000001,0.000001,9.33199,0.921464732
ARHGAP27,2.89,28,9,1,7.48554,327,12,54.68,12924.47368,19325,21,10,11,0.000002791,0.17546,0.09516,2.207978707,0.000001,6.02549,0.731196952
ARHGAP29,3.896,41,20,0,4.66144,327,-9,38.07,50389.2,50777,5,2,3,0.000001624,0.08761,0.08872,0.650319432,-1.480759435,2.4137,0.431279811
ARHGAP24,2.427,46,16,1,0.29589,739,13,36.75,211675,282111.7143,12,7,5,0.000002749,0.39284,0.12435,-0.081651532,-0.617221851,3.36262,0.486244985
CEP44,1.342,24,11,0,0.63527,647,11,35.66,28300.2,28340.75,10,8,2,0.000001,0.15155,0.09923,0.159295736,1.330184494,2.67907,0.11437136
ARHGAP23,4.596,4,6,1,0.000001,0.000001,0.000001,55.34,24895.41667,37573.14286,12,7,5,0.000001,0.32675,0.09642,0.000001,0.000001,4.86912,0.588597013
ARHGAP26,2.56,17,16,1,1.56598,456,38,42.17,109381.65,171443.4444,20,9,11,0.000001682,0.36857,0.36135,2.70203633,-0.867014353,0.98924,0.560010179
ARHGAP25,2.036,26,22,1,3.85975,470,20,41.83,69473.16667,62201.11111,19,9,10,0.000002429,0.82588,0.12015,0.907660347,0.75875178,7.92463,0.452058986
ARHGAP30,3.366,47,20,1,6.89033,250,23,49.52,20641.85714,22913,7,3,4,0.000003265,0.000001,0.000001,0.506237716,-0.968173992,9.78724,0.113987181
OSM,0.774,13,5,0,5.48674,211,43,60.32,2909.333333,2909.333333,3,3,0,0.000001855,0.178,0.7168,0.367240775,-0.249709319,1.70915,0.944101243
ARHGAP31,4.395,52,28,0,2.65987,585,23,43.44,92289.5,92289.5,2,2,0,0.000003665,0.000001,0.000001,1.86293161,0.587847333,3.23262,0.539175613
ARHGAP32,6.374,91,44,0,1.95815,546,-11,36.86,104202.625,144228,8,5,3,0.000002673,0.000001,0.000001,0.507438774,-2.151949495,5.2506,0.539175613
JOSD1,0.629,8,8,0,10.56349,262,45,47.81,5794,8977.333333,10,6,4,0.000002243,0.54711,0.11809,1.154492127,-0.007201372,2.80304,0.705748495
ARHGAP33,3.969,46,35,0,11.51198,321,30,60.93,4954.166667,10494.6,13,5,8,0.000002518,0.40232,0.13342,2.001337735,-1.456898556,3.06572,0.539175613
APITD1,0.442,6,1,0,7.71199,383,28,46.89,10084.16667,17005.75,7,4,3,0.000001407,0.000001,0.000001,0.000001,0.21326276,10000,0.992271739
JOSD2,0.587,9,7,1,7.62018,517,35,61.76,4045.714286,5146,7,5,2,0.000003355,0.15287,0.10732,-0.003753651,0.000001,0.66558,0.433823197
C4orf51,0.639,12,5,0,2.2101,1168,26,41.96,41385.5,52532,4,2,2,0.000002925,0.000001,0.000001,0.000001,0.637604436,4.46723,0.000001
ZNF808,2.727,48,17,0,5.46511,1005,-53,44.95,26660.83333,24630.4,6,5,1,0.000003896,0.000001,0.000001,0.646425483,0.672386703,5.84351,0.074586729
ZNF805,1.904,12,4,0,0.000001,0.000001,0.000001,46.41,14264.66667,14264.66667,3,3,0,0.000001,0.000001,0.000001,0.000001,1.216305531,8.15508,0.275885416
SLC37A3,1.704,28,14,0,3.5435,587,28,45.22,29274.96552,30195.07143,29,14,15,0.000002585,0.15291,0.11718,0.267789834,-0.354480519,10.29348,0.324659095
MUM1L1,2.096,0,1,1,0.000001,0.000001,0.000001,38.7,29507.66667,29507.66667,3,3,0,0.000004246,0.000001,0.000001,0.631521319,0.240763792,0.70641,0.025264365
SLC37A4,1.505,20,14,0,14.24132,180,57,55.91,5018.208333,6421.625,17,4,13,0.000002259,0.21468,0.32483,0.484769042,0.000001,2.40713,0.367378355
ZNF800,2.02,15,9,0,3.13691,807,-5,37.8,26086.28571,25971.33333,7,6,1,0.00000397,0.000001,0.000001,1.998283413,-0.025608647,2.34648,0.371798659
ARHGAP36,1.762,0,1,0,0.000001,0.000001,0.000001,46.18,18438.8,18438.8,5,5,0,0.000003319,0.000001,0.000001,0.969014328,-0.758599262,0.58176,0.11437136
ARHGAP35,4.53,39,38,0,12.01856,207,29,47.96,32251.6,86402,5,1,4,0.000001,0.63484,0.16728,3.830279818,-1.813357534,1.90231,0.11437136
CEP55,1.435,28,7,1,4.58453,249,17,40.68,15878,22281.5,3,2,1,0.000001999,0.39036,0.09216,0.421812337,1.618658506,9.63761,0.797598814
ARHGAP39,3.4,35,34,0,17.06542,291,12,53.99,79117,102853.6667,4,3,1,0.000003579,0.000001,0.000001,3.31960663,-1.390744555,3.07112,0.23091223
ARHGAP40,2.1,17,4,0,0.000001,0.000001,0.000001,48.52,20669.5,20669.5,4,4,0,0.000001,0.08879,0.10941,0.000001,0.000001,5.79264,0.11437136
