Gene	GDI_Phred
G3BP2	0.87395
TTPA	0.87422
GJC2	0.87449
NDUFS3	0.87476
PCGF2	0.87503
EMC4	0.87530
LACTB2	0.87557
C4orf3	0.87585
C5orf56	0.87612
LZIC	0.87639
CCNY	0.87666
C12orf57	0.87693
ZNF69	0.87720
ZNF705B	0.87748
C16orf13	0.87775
MATR3	0.87802
CNN2	0.87829
MARCH6	0.87856
NDUFB2	0.87884
CNEP1R1	0.87911
MIA	0.87938
OSBPL11	0.87965
MARCKSL1	0.87992
EXOSC5	0.88047
TREM1	0.88020
RAD51	0.88074
HVCN1	0.88101
VPS37D	0.88128
RTF1	0.88156
EXTL2	0.88183
ARMCX2	0.88210
TMEM150B	0.88237
TRIM21	0.88264
ABHD4	0.88292
EGLN3	0.88319
ZNF524	0.88346
VOPP1	0.88373
DNAJB6	0.88400
USP51	0.88428
IKZF5	0.88455
COPG2	0.88482
KLF15	0.88509
CD300E	0.88537
POLR2B	0.88564
CLDN9	0.88591
MMP28	0.88618
RNPEPL1	0.88645
DUSP18	0.88673
COA6	0.88700
LNP1	0.88727
HAX1	0.88754
C11orf57	0.88782
SLC25A36	0.88809
LIN52	0.88836
CXCL17	0.88863
ZNF771	0.88891
BCCIP	0.88918
SYNPR	0.88945
KCNS2	0.88972
CCR4	0.89000
KIN	0.89027
C1orf95	0.89054
C20orf141	0.89081
TMEM179	0.89109
TBC1D22B	0.89136
ADRA1B	0.89163
OSBPL2	0.89190
MYCL	0.89218
AMDHD2	0.89245
KLHL8	0.89272
RPRD1B	0.89300
SPDYC	0.89327
DHH	0.89354
LRP2BP	0.89381
KRTAP4-2	0.89409
C17orf105	0.89436
WNT5A	0.89463
PPP1R2	0.89491
TMEM182	0.89518
NFKBIA	0.89545
TSSC1	0.89572
OPN5	0.89600
MBD2	0.89627
MED28	0.89654
GGPS1	0.89682
IGFL3	0.89709
LHX3	0.89736
SLC25A39	0.89763
SLC6A3	0.89791
CCL28	0.89818
FAM209A	0.89845
MAL	0.89873
LGALSL	0.89900
NTMT1	0.89927
DUSP4	0.89955
FGF11	0.89982
THEM6	0.90009
KEAP1	0.90037
RNASE6	0.90064
ERP44	0.90091
C4orf32	0.90119
ZMAT5	0.90146
CCDC94	0.90173
RAPGEFL1	0.90201
NME5	0.90228
SKAP1	0.90255
NUP35	0.90283
CXCL2	0.90310
SMIM18	0.90337
S100A1	0.90365
KCNN2	0.90392
SPRYD4	0.90419
FXN	0.90447
PLP2	0.90474
POLR2A	0.90501
RAB5C	0.90529
PHOSPHO2	0.90556
SH3GL2	0.90583
PEX7	0.90611
SCG5	0.90638
FCER1G	0.90665
FAHD2A	0.90693
SRPK2	0.90720
PRR13	0.90748
TFAP2B	0.90775
CMTR1	0.90802
GNB2	0.90830
VWA9	0.90857
LSM10	0.90884
TMEM141	0.90912
ERMN	0.90939
AC138647.1	0.90966
BECN1	0.90994
DEFB118	0.91021
TUSC3	0.91049
RNF128	0.91076
FBLN5	0.91103
ERVFRD-1	0.91131
RPLP0	0.91158
TMUB1	0.91186
MSC	0.91213
INTS12	0.91240
TFF3	0.91268
OR4F17	0.91295
SAV1	0.91323
GFPT1	0.91350
STEAP1	0.91377
TMEM86B	0.91405
ARMCX3	0.91432
C19orf52	0.91460
TRAF7	0.91487
CLEC12A	0.91514
RDH10	0.91542
HMGB2	0.91569
ZDHHC21	0.91597
TBCA	0.91624
GPR18	0.91652
RFC2	0.91679
HSD11B2	0.91706
SNRPA1	0.91734
LYRM5	0.91761
RBM42	0.91789
TFF1	0.91816
ADORA3	0.91844
GMEB2	0.91871
NDUFA8	0.91898
PLRG1	0.91926
KPNB1	0.91953
RAB26	0.91981
WBSCR17	0.92008
LARP6	0.92036
SASH3	0.92063
OCIAD1	0.92091
TEX30	0.92118
CPLX4	0.92145
DEDD2	0.92173
ARR3	0.92200
ARNTL	0.92228
EBPL	0.92255
TMEM95	0.92283
CSNK1G2	0.92310
UHMK1	0.92338
RFX3	0.92365
RFPL3S	0.92393
C1orf192	0.92420
TNFRSF4	0.92448
RASL12	0.92475
COPS6	0.92502
DSCR3	0.92530
MALSU1	0.92557
MS4A1	0.92585
HM13	0.92612
SLC23A2	0.92640
PAX2	0.92667
KIAA0125	0.92695
CPSF2	0.92722
ST7	0.92750
RPS6KA2	0.92777
ALYREF	0.92805
VPS36	0.92832
FBXO28	0.92860
IPO7	0.92887
FASLG	0.92915
GMEB1	0.92942
TSPAN3	0.92970
TIMM22	0.92997
RPS20	0.93025
GTF2E2	0.93052
HRH3	0.93080
CPNE2	0.93107
KRTAP3-3	0.93135
FOSL1	0.93162
CRCP	0.93190
BCL11B	0.93217
ZNF552	0.93245
CSH2	0.93272
PAGE5	0.93300
KAT7	0.93328
DYNC1LI2	0.93355
PLCXD3	0.93383
TNFSF18	0.93410
MXD1	0.93438
PPIF	0.93465
VPS37B	0.93493
SLC35A2	0.93520
NPY1R	0.93548
SGMS2	0.93575
NR4A2	0.93603
ORMDL2	0.93630
ZFAND6	0.93658
DHX30	0.93686
TM2D2	0.93713
RFPL4B	0.93741
ZNF688	0.93768
ZFAND1	0.93796
SPANXC	0.93823
RBM41	0.93851
MBD3L3	0.93878
ZCCHC12	0.93906
C19orf82	0.93934
ZNF460	0.93961
NBPF4	0.93989
CAB39	0.94016
TMEM216	0.94044
SUDS3	0.94071
HIST1H2AB	0.94099
PPP3R2	0.94127
SACM1L	0.94154
TMEM186	0.94182
ENO1	0.94209
GALNT1	0.94237
TSPAN12	0.94265
WT1	0.94292
FAM213B	0.94320
SSBP3	0.94347
RASL11A	0.94375
PTBP1	0.94402
MUSTN1	0.94430
WDR70	0.94458
PAIP2B	0.94485
TCEA1	0.94513
TMEM248	0.94541
CMTM1	0.94568
HMOX2	0.94596
F9	0.94623
ASPRV1	0.94651
ST6GALNAC4	0.94679
CLTC	0.94706
CPLX3	0.94734
ST3GAL4	0.94761
HINT2	0.94789
TREX1	0.94817
MAP1LC3C	0.94844
SLC35G1	0.94872
LAMP2	0.94900
TLE3	0.94927
SARNP	0.94955
C16orf47	0.94982
PPAT	0.95010
C12orf5	0.95038
OSGEP	0.95065
NUDC	0.95093
PIP4K2B	0.95121
HOOK3	0.95148
TLR7	0.95176
LHFPL4	0.95204
BMP7	0.95231
ARFRP1	0.95259
MEMO1	0.95287
PRAC1	0.95314
GJA1	0.95342
GTF2H2C	0.95369
STMN4	0.95397
C1QTNF3	0.95425
ZNF174	0.95452
RILPL2	0.95480
ZSCAN23	0.95508
TMIE	0.95535
PRKG2	0.95563
MEIG1	0.95591
CPEB4	0.95618
CLDN25	0.95646
NME2	0.95674
GTF2A2	0.95701
RBBP4	0.95729
VAPB	0.95757
P2RY1	0.95785
STX4	0.95812
GINS2	0.95840
SERPINB9	0.95868
ST8SIA1	0.95895
DHX9	0.95923
RBM4B	0.95951
RARA	0.95978
CRYGA	0.96006
AL645608.1	0.96034
GAP43	0.96061
DRD1	0.96089
RP11-65D24.2	0.96117
ZNF253	0.96145
CHAC2	0.96172
RCOR1	0.96200
TSRM	0.96228
RAI2	0.96255
HMBOX1	0.96283
PGK1	0.96311
CDCA8	0.96339
NF2	0.96366
C16orf45	0.96394
CRBN	0.96422
SLC41A1	0.96449
SSTR1	0.96477
ZMPSTE24	0.96505
EYA3	0.96533
GNG2	0.96560
CHERP	0.96588
RCAN2	0.96616
CUL2	0.96644
WASF1	0.96671
HAS2	0.96699
EMP1	0.96727
ORAI2	0.96755
HAND2	0.96782
PAGE3	0.96810
E2F4	0.96838
ZNF696	0.96866
VSIG1	0.96893
SLC30A3	0.96921
GNA11	0.96949
WIPF1	0.96977
P4HB	0.97004
DIMT1	0.97032
PDE1B	0.97060
FLCN	0.97088
AP000783.1	0.97115
PEX11B	0.97143
ADORA1	0.97171
ANP32D	0.97199
PID1	0.97227
ATP5I	0.97254
SHOC2	0.97282
TAS2R3	0.97310
FAM217B	0.97338
LRFN1	0.97365
NUP50	0.97393
MAF	0.97421
FAM212A	0.97449
CREB5	0.97477
IFNA7	0.97504
AQP9	0.97532
PNCK	0.97560
STOML2	0.97588
TOMM40	0.97616
MRPL13	0.97643
TMEM74B	0.97671
EBF3	0.97699
POLR3H	0.97727
CXCL1	0.97755
CHST7	0.97782
FBXL2	0.97810
CSDE1	0.97838
APOC1	0.97866
NOP58	0.97894
RBFOX2	0.97922
IL25	0.97949
PTGES3	0.97977
MEST	0.98005
AL357673.1	0.98033
NHP2L1	0.98061
SNRNP35	0.98089
IL19	0.98116
VAPA	0.98144
LAMP3	0.98172
RPS7	0.98200
RFXAP	0.98228
SPA17	0.98256
SMARCE1	0.98283
ORAI3	0.98311
FBXO22	0.98339
DIABLO	0.98367
AC022532.1	0.98395
MAS1	0.98423
FOLR1	0.98450
PSMD10	0.98478
C12orf68	0.98506
GABRB1	0.98534
C1orf109	0.98562
ZNF114	0.98590
AL807752.1	0.98618
TERF1	0.98646
THEM4	0.98673
AP2A2	0.98701
PRRX2	0.98729
GTF2H3	0.98757
SRD5A1	0.98785
SLC1A2	0.98813
PPP1R3D	0.98841
KLK9	0.98869
THPO	0.98896
ARHGAP26	0.98924
DRAP1	0.98952
ATP6AP2	0.98980
PTPN9	0.99008
PRKCI	0.99036
ICA1	0.99064
BPGM	0.99092
ZNF569	0.99120
PHF8	0.99147
GVQW1	0.99175
WNT4	0.99203
MRP63	0.99231
CRYL1	0.99259
CHKB	0.99287
MAGEC2	0.99315
RP11-793H13.10	0.99343
CRIP2	0.99371
NDUFS4	0.99399
CTGF	0.99427
SLC25A18	0.99454
LIX1	0.99482
ATP5F1	0.99510
HNF4G	0.99538
SCRG1	0.99566
C12orf61	0.99594
MREG	0.99622
SAMD8	0.99650
MAT2B	0.99678
KCTD21	0.99706
C1orf198	0.99734
LRRC14	0.99762
ALG5	0.99790
SLC25A29	0.99818
PARVA	0.99845
CCDC101	0.99873
SPACA7	0.99901
FAM19A4	0.99929
KRTAP19-6	0.99957
CCK	0.99985
HMSD	1.00013
OAS2	1.00041
DCLK1	1.00069
ANP32B	1.00097
CLP1	1.00125
USP12	1.00153
KCNK2	1.00181
ORAI1	1.00209
PTGER4	1.00237
RHBDL1	1.00265
C11orf94	1.00293
TM4SF4	1.00321
MRPS10	1.00349
ELMOD1	1.00377
LINC00923	1.00405
PCYT2	1.00433
HOXB13	1.00461
HMGCL	1.00489
HEXIM1	1.00517
PDCD10	1.00545
ZNF699	1.00573
HIST2H2BF	1.00601
STRAP	1.00629
AP2M1	1.00657
FA2H	1.00685
YOD1	1.00713
TXNDC17	1.00741
UNC119B	1.00769
CDCA7	1.00797
CEACAM6	1.00825
SMIM5	1.00853
SSBP1	1.00881
LMNA	1.00909
FAM50B	1.00937
NDRG4	1.00965
HMGB1	1.00993
FAM89A	1.01021
IPO13	1.01049
NDST3	1.01077
ATF3	1.01105
VPS72	1.01133
NSMCE2	1.01161
RBPJ	1.01189
EMC7	1.01217
FXR1	1.01245
MARCH9	1.01273
MRPL30	1.01301
TMPRSS11D	1.01329
CCT2	1.01357
PLEKHA3	1.01385
MFSD5	1.01413
RIT2	1.01441
MYL1	1.01469
DCAF10	1.01497
SLITRK4	1.01525
C1orf115	1.01553
IL20	1.01582
MSRB3	1.01610
IL12A	1.01638
ZNF724P	1.01666
SPRY1	1.01694
C19orf60	1.01722
CD40	1.01750
TRADD	1.01778
MRAS	1.01806
LIM2	1.01834
CCDC47	1.01862
TTL	1.01890
GRIA2	1.01918
MLN	1.01946
NOL4	1.01975
ATOH7	1.02003
TBL1X	1.02031
TAX1BP3	1.02059
BX088651.1	1.02087
CSNK2B-LY6G5B-1181	1.02115
TMCC1	1.02143
SNX22	1.02171
C1orf100	1.02199
GINS4	1.02227
CYB561	1.02255
MAGEA12	1.02284
SESN3	1.02312
C11orf87	1.02340
MAGEB2	1.02368
RP11-286N22.8	1.02396
TMEM238	1.02424
MMP16	1.02452
HAPLN1	1.02480
LPAR2	1.02508
NCCRP1	1.02537
DPCD	1.02565
DUSP14	1.02593
HSPB3	1.02621
CRHBP	1.02649
HSF4	1.02677
ZMAT1	1.02705
MITD1	1.02733
INO80B	1.02762
CIB4	1.02790
UBXN10	1.02818
SLC6A14	1.02846
UGT2B7	1.02874
GDPD2	1.02902
YRDC	1.02930
ZBTB8A	1.02959
IGF2BP1	1.02987
PFN3	1.03015
GKAP1	1.03043
COA4	1.03071
GP1BB	1.03099
RAB27B	1.03127
RHOT1	1.03156
SENP3	1.03184
ALAS2	1.03212
FYN	1.03240
SHISA4	1.03268
RELA	1.03296
PAPOLG	1.03325
TMEM196	1.03353
NFS1	1.03381
WDFY1	1.03409
PYCR1	1.03437
AC018816.3	1.03465
C1QTNF1	1.03494
UCKL1	1.03522
SIAH3	1.03550
ACTR10	1.03578
PSAT1	1.03606
P2RY13	1.03635
FXYD6-FXYD2	1.03663
JRKL	1.03691
VPREB1	1.03719
HDDC2	1.03747
MRPL43	1.03776
BID	1.03804
RALYL	1.03832
MSL2	1.03860
VTI1B	1.03888
SUV420H2	1.03917
DUSP26	1.03945
STX19	1.03973
NDUFA13	1.04001
CA5B	1.04029
KIAA0101	1.04058
HNRNPF	1.04086
AMMECR1L	1.04114
B3GALT5	1.04142
FEM1A	1.04170
NMI	1.04199
MPPED1	1.04227
AC015989.2	1.04255
IFIT1	1.04283
NLGN3	1.04312
GIMAP1	1.04340
PSG11	1.04368
ST3GAL3	1.04396
NUS1	1.04425
NDRG3	1.04453
SOX6	1.04481
RAB28	1.04509
DDI2	1.04538
FAIM2	1.04566
FAM219B	1.04594
RNASE2	1.04622
FOSB	1.04651
BMX	1.04679
RRAGD	1.04707
PGC	1.04735
LRFN5	1.04764
RHNO1	1.04792
FEM1B	1.04820
ALB	1.04848
CDH10	1.04877
ZNF555	1.04905
PLA2G16	1.04933
KCNE4	1.04962
HAND1	1.04990
EHD1	1.05018
TNMD	1.05046
QTRT1	1.05075
NODAL	1.05103
FAXC	1.05131
CASC10	1.05159
ELK4	1.05188
SETD8	1.05216
OCM2	1.05244
PET117	1.05273
ABCD3	1.05301
GJA8	1.05329
RCN2	1.05358
KCNH1	1.05386
SNRNP70	1.05414
CLDN7	1.05442
DDB2	1.05471
C7orf66	1.05499
FAM183A	1.05527
RNF5	1.05556
ZBTB37	1.05584
RP11-1035H13.3	1.05612
PXDC1	1.05641
FSBP	1.05669
NINJ1	1.05697
TNNI3	1.05726
NMNAT1	1.05754
BCKDK	1.05782
C19orf44	1.05811
PFKFB2	1.05839
FAM53B	1.05867
TMEM87A	1.05896
C8orf17	1.05924
GSTK1	1.05952
MSI2	1.05981
RAN	1.06009
PDLIM1	1.06037
ADRBK1	1.06066
LGALS7	1.06094
FOXA3	1.06122
GFOD2	1.06151
HARBI1	1.06179
RHBDD2	1.06207
RUNX1T1	1.06236
APOOL	1.06264
RPIA	1.06293
PRCD	1.06321
PDK2	1.06349
TSTD1	1.06378
ATP5G3	1.06406
DUSP8	1.06434
GPR19	1.06463
AC011997.1	1.06491
KRTAP21-1	1.06519
ASB1	1.06548
MYF6	1.06576
GPKOW	1.06605
STAMBP	1.06633
SUMO4	1.06661
OAT	1.06690
C1orf64	1.06718
CCDC126	1.06747
ATP6V1E1	1.06775
IL1F10	1.06803
FLJ20373	1.06832
ZFP42	1.06860
UNCX	1.06889
VPS4A	1.06917
PKNOX1	1.06945
ATP2B1	1.06974
C12orf29	1.07002
WNT9A	1.07031
KLHDC8A	1.07059
CLDN4	1.07087
IFNB1	1.07116
AGR2	1.07144
CNRIP1	1.07173
ADARB1	1.07201
SOX8	1.07230
CHURC1	1.07258
PRSS1	1.07286
EXOSC4	1.07315
CEBPE	1.07343
G3BP1	1.07372
FYTTD1	1.07400
C2orf76	1.07429
SLTM	1.07457
KCNE2	1.07485
PUM2	1.07514
DNAJC18	1.07542
ELF5	1.07571
ZNF420	1.07599
GPC2	1.07628
PHEX	1.07656
TMEM14C	1.07685
CPSF3	1.07713
FEZF1	1.07741
MTHFD2L	1.07770
C20orf78	1.07798
LHFPL5	1.07827
USP9X	1.07855
ACTR3	1.07884
CDK5R2	1.07912
STT3B	1.07941
ANKRD13B	1.07969
HTR7	1.07998
UGT1A7	1.08026
UBIAD1	1.08055
EGR2	1.08083
NXF1	1.08112
GGA2	1.08140
TAL2	1.08169
PDP2	1.08197
PPME1	1.08226
TMX2	1.08254
CX3CL1	1.08282
LUM	1.08311
LPCAT4	1.08339
TRPC4	1.08368
ZNF8	1.08396
ANKRD29	1.08425
HOXA2	1.08453
C1orf189	1.08482
TGDS	1.08510
HSPA5	1.08539
PDE6D	1.08568
AFG3L2	1.08596
NPB	1.08625
CTNNBIP1	1.08653
ZFP41	1.08682
TNPO1	1.08710
CHKA	1.08739
ZBTB34	1.08767
STK17B	1.08796
TOMM5	1.08824
DEGS1	1.08853
NIT2	1.08881
TCEAL2	1.08910
TPPP	1.08938
U2SURP	1.08967
FAM213A	1.08995
LSM12	1.09024
PPP5D1	1.09052
STAT4	1.09081
MOSPD3	1.09110
PPP1R9B	1.09138
UBE3A	1.09167
BACE1	1.09195
REPS2	1.09224
STRA8	1.09252
BCAT1	1.09281
STK24	1.09309
DHRS7B	1.09338
NAA15	1.09367
RAB5B	1.09395
PAPD7	1.09424
ZER1	1.09452
SP7	1.09481
LIMA1	1.09509
PTRHD1	1.09538
KCNE1	1.09567
JUND	1.09595
ICAM4	1.09624
TXNRD1	1.09652
HOXC6	1.09681
RBFOX3	1.09709
TSSK6	1.09738
ADRBK2	1.09767
SPATA12	1.09795
EVX2	1.09824
TMEM127	1.09852
CRP	1.09881
NFKBIL1	1.09910
EDA2R	1.09938
TRIM74	1.09967
DNAJC4	1.09995
ZDHHC2	1.10024
NUPR1	1.10053
PCMT1	1.10081
TUBA3D	1.10110
IFRD1	1.10139
AIFM1	1.10167
DOK6	1.10196
FGR	1.10224
WBP2	1.10253
GSTM2	1.10282
KRTAP22-1	1.10310
TRIM28	1.10339
SPACA1	1.10367
IDH3A	1.10396
TOB1	1.10425
MDH1	1.10453
OXGR1	1.10482
PLA2G2A	1.10511
TBC1D25	1.10539
HSD17B1	1.10568
GPR141	1.10597
AREGB	1.10625
LTC4S	1.10654
LINC01098	1.10683
SUZ12	1.10711
DMRTC2	1.10740
SIX2	1.10769
USP15	1.10797
FNDC5	1.10826
PDDC1	1.10854
LRRC59	1.10883
RBM15B	1.10912
TPST2	1.10940
CIAO1	1.10969
GDAP2	1.10998
VPS4B	1.11026
NAGA	1.11055
NT5C3B	1.11084
C5orf66	1.11113
ORM1	1.11141
ROMO1	1.11170
DNAJC27	1.11199
NR1I3	1.11227
HIST1H2AH	1.11256
ZNF740	1.11285
STUB1	1.11313
FKBP14	1.11342
DECR1	1.11371
CHST14	1.11399
GPR183	1.11428
BCKDHB	1.11457
CYP3A7	1.11486
SSBP4	1.11514
CYP46A1	1.11543
MAP2K5	1.11572
HIRA	1.11600
EVA1B	1.11629
GID4	1.11658
FLI1	1.11686
TRNT1	1.11715
SCGB1A1	1.11744
FAM180B	1.11773
C16orf86	1.11801
ASB6	1.11830
CAMK1	1.11859
DCAF8L1	1.11888
SLC30A4	1.11916
TLCD1	1.11945
RP11-520P18.5	1.11974
MGAT3	1.12002
RP11-108K14.8	1.12031
NR1H3	1.12060
DBP	1.12089
SLC30A10	1.12117
CTD-2192J16.24	1.12146
C12orf4	1.12175
FUBP3	1.12204
RNF40	1.12232
RABL2B	1.12261
CYBB	1.12290
C3orf58	1.12319
BHLHE40	1.12347
SETD3	1.12376
RP11-527L4.2	1.12405
DUSP10	1.12434
HOXA11	1.12463
CLK4	1.12491
NAIF1	1.12520
ZNF529	1.12549
FAM47E	1.12578
GLRA3	1.12606
SLC35C2	1.12635
FOS	1.12664
CNTFR	1.12693
CYB561D2	1.12722
RCBTB1	1.12750
C8orf76	1.12779
MAP1LC3B	1.12808
RHOXF2	1.12837
MOB3B	1.12866
DSCR4	1.12894
EDDM3B	1.12923
NACC1	1.12952
THOC2	1.12981
PSMB10	1.13010
GTPBP1	1.13038
CIB1	1.13067
ESRRA	1.13096
OXLD1	1.13125
RAB27A	1.13154
B3GAT2	1.13182
GPATCH2L	1.13211
FZD8	1.13240
RNF170	1.13269
CCNK	1.13298
CTD-2583A14.10	1.13326
LRRTM4	1.13355
RNPC3	1.13384
BEND5	1.13413
FOXB1	1.13442
ITFG1	1.13471
PTGR2	1.13499
CCDC84	1.13528
KBTBD7	1.13557
ZNF362	1.13586
RBPMS	1.13615
RSBN1	1.13644
WNT8A	1.13673
C20orf112	1.13701
NECAP2	1.13730
CXCL6	1.13759
AL022328.1	1.13788
WAS	1.13817
ARAF	1.13846
PRKCD	1.13875
TPM3	1.13903
PELO	1.13932
SPAST	1.13961
ATG3	1.13990
FAM126B	1.14019
EAF1	1.14048
CERS5	1.14077
SLC1A6	1.14105
C13orf35	1.14134
C9orf85	1.14163
MTHFD2	1.14192
CCNE1	1.14221
DGAT2L6	1.14250
COX18	1.14279
PHB2	1.14308
HMGCS1	1.14337
SLC18A2	1.14365
FAM120A	1.14394
ZNF384	1.14423
CNN1	1.14452
BLOC1S5	1.14481
CDK2	1.14510
POU1F1	1.14539
TIPRL	1.14568
ZSCAN2	1.14597
TUFM	1.14626
CYB5A	1.14655
CREB3	1.14683
BABAM1	1.14712
BSND	1.14741
HSPA13	1.14770
C6orf203	1.14799
RCOR2	1.14828
FABP12	1.14857
ZIK1	1.14886
ZBTB6	1.14915
PLEKHA1	1.14944
RNPS1	1.14973
KCNRG	1.15002
TPM4	1.15031
PTPN6	1.15059
DKK1	1.15088
DIAPH2	1.15117
SERPINE2	1.15146
FAM3D	1.15175
RUNDC3B	1.15204
ZNF660	1.15233
CCDC97	1.15262
DIRAS3	1.15291
KIF3B	1.15320
MYOZ1	1.15349
GJB6	1.15378
SLC13A5	1.15407
AC104841.2	1.15436
FAM73A	1.15465
FOXI1	1.15494
PLEKHF1	1.15523
PSMA8	1.15552
SUCLG1	1.15581
ARMC8	1.15610
MKRN2	1.15639
CKMT1A	1.15668
CCNA1	1.15697
CTAGE4	1.15726
PIP5KL1	1.15755
STRIP1	1.15784
C13orf45	1.15813
GPS1	1.15842
IMPAD1	1.15871
GSPT2	1.15900
SIX3	1.15929
AIP	1.15958
STON1	1.15987
KAT2A	1.16016
TNPO3	1.16045
PTRH1	1.16074
IRF9	1.16103
SLC30A7	1.16132
CTD-2369P2.12	1.16161
OLIG2	1.16190
TSTA3	1.16219
CHST8	1.16248
IP6K1	1.16277
STRA13	1.16306
SEC13	1.16335
GRIA4	1.16364
UPF3B	1.16393
HSH2D	1.16422
ZNF738	1.16451
CA14	1.16480
RASD1	1.16509
NPPC	1.16538
RP11-366L20.2	1.16567
IMMP2L	1.16596
TRAPPC2P1	1.16625
RRNAD1	1.16654
PRDX5	1.16683
PICALM	1.16712
XPOT	1.16741
SNX27	1.16770
WDR37	1.16799
C17orf59	1.16829
TEPP	1.16858
ATP1A1	1.16887
TRAF4	1.16916
TMEM55A	1.16945
SLC25A24	1.16974
CHST1	1.17003
SYNJ2BP	1.17032
OR6C65	1.17061
DPPA3	1.17090
BAG5	1.17119
OOSP2	1.17148
KLHL3	1.17177
AKT1S1	1.17206
HS3ST5	1.17236
SLC9A7	1.17265
TFPI	1.17294
ZFP92	1.17323
ELP3	1.17352
C7orf43	1.17381
SRSF12	1.17410
SPINK7	1.17439
USP17L29	1.17468
VAMP7	1.17497
ADAM10	1.17527
ARL14EPL	1.17556
CD38	1.17585
EFEMP2	1.17614
LYRM1	1.17643
CFC1	1.17701
TMEM151A	1.17672
EWSR1	1.17730
TRPC5	1.17759
ANKRD13D	1.17789
PIGL	1.17818
SLC9B1	1.17847
KLC1	1.17876
TBL1Y	1.17905
EPHX3	1.17934
AP001362.1	1.17963
MRPS23	1.17992
CLDN3	1.18022
ITCH	1.18051
RIMBP3B	1.18080
EPO	1.18109
TMIGD1	1.18138
STS	1.18167
MPP6	1.18196
CBX6	1.18226
HSPB2	1.18255
SLC25A35	1.18284
C17orf67	1.18313
CD69	1.18342
TTC39A	1.18371
RNF19A	1.18401
SLMAP	1.18430
MT1M	1.18459
DENND6A	1.18488
OR1J4	1.18517
CD151	1.18546
PCP4L1	1.18576
TMEM136	1.18605
KLF9	1.18634
GPS2	1.18663
IDH2	1.18692
MST4	1.18722
XKR6	1.18751
ST6GALNAC6	1.18780
NDUFB7	1.18809
C2orf47	1.18838
MBD3L5	1.18867
CCDC85B	1.18897
RAP1GDS1	1.18926
RP11-484M3.5	1.18955
RTN4RL2	1.18984
LPAR4	1.19013
CPSF3L	1.19043
MMP3	1.19072
TROVE2	1.19101
PYROXD1	1.19130
ACAP2	1.19160
KDM4B	1.19189
TWF2	1.19218
COLCA1	1.19247
ALKBH6	1.19276
CENPI	1.19306
LRRC20	1.19335
TMCO2	1.19364
GLRB	1.19393
SYK	1.19423
RGS4	1.19452
PCSK2	1.19481
ATP5EP2	1.19510
SAMD12	1.19540
C20orf166	1.19569
MFAP3	1.19598
KCNN1	1.19627
CA12	1.19656
CCDC140	1.19686
HAPLN4	1.19715
CLINT1	1.19744
LCE3A	1.19773
PTGER2	1.19803
DEFB4B	1.19832
INTS6	1.19861
MCL1	1.19891
HIATL1	1.19920
MAP2K2	1.19949
KDM5D	1.19978
AICDA	1.20008
PPP1R35	1.20037
PDE1A	1.20066
RTFDC1	1.20095
CAPZA2	1.20125
ATP5D	1.20154
POU3F3	1.20183
ASRGL1	1.20213
SIGLEC7	1.20242
ARHGAP11B	1.20271
LUC7L3	1.20300
GPR34	1.20330
TMEM52B	1.20359
NPPB	1.20388
MEX3B	1.20418
NKX2-3	1.20447
LDHA	1.20476
CAMP	1.20506
UNG	1.20535
TAS2R14	1.20564
CYR61	1.20593
FAM177A1	1.20623
SF3A2	1.20652
SEC23A	1.20681
HECTD2	1.20711
TRAIP	1.20740
INO80E	1.20769
HNRNPU	1.20799
ISG20	1.20828
TOX4	1.20857
RP11-268J15.5	1.20887
EVI2A	1.20916
CD274	1.20945
P2RY6	1.20975
MBIP	1.21004
RCBTB2	1.21033
STYX	1.21063
GINS3	1.21092
NAA30	1.21121
LCE3B	1.21151
DCTPP1	1.21180
CDRT15L2	1.21209
ZNF248	1.21239
SLC25A10	1.21268
APOM	1.21298
ATXN10	1.21327
SLC30A6	1.21356
KERA	1.21386
ZFP90	1.21415
GUCY1B3	1.21444
FAM231B	1.21474
ZFX	1.21503
ERO1L	1.21532
SLITRK1	1.21562
ERF	1.21591
TMEM154	1.21621
YBEY	1.21650
GPSM3	1.21679
MRPS6	1.21709
TSPAN1	1.21738
LEP	1.21768
PDZD9	1.21797
DNMT3A	1.21826
GRIN2B	1.21856
FSTL1	1.21885
CDADC1	1.21915
PNMT	1.21944
ZC3H10	1.21973
GHRH	1.22003
RGS16	1.22032
CTD-3105H18.18	1.22062
C11orf83	1.22091
FAM231D	1.22120
RNF14	1.22150
MARK4	1.22179
UPF1	1.22209
FNDC4	1.22238
APOA1	1.22268
MNAT1	1.22297
MDFIC	1.22326
CHCHD3	1.22356
IL17C	1.22385
NEDD4L	1.22415
TMEM217	1.22444
C2orf78	1.22474
ZNF823	1.22503
KLHL12	1.22532
COX7A2	1.22562
PIK3CB	1.22591
ALX3	1.22621
AAR2	1.22650
HTR1B	1.22680
FOXP3	1.22709
SMIM15	1.22739
DDX17	1.22768
ZNF239	1.22797
LRCH2	1.22827
GZMK	1.22856
RP1-127H14.3	1.22886
BLOC1S4	1.22915
LANCL3	1.22945
AC092964.2	1.22974
LUZP6	1.23004
TFPI2	1.23033
ZNF787	1.23063
REN	1.23092
FTSJ1	1.23122
AC019294.1	1.23151
EXT1	1.23181
RARRES2	1.23210
TAF10	1.23240
PDCD2L	1.23269
SOCS6	1.23299
PRDM4	1.23328
KY	1.23358
